GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
17504.715,237.498,5.0,142281.0,188944.0,18664992.0,24.5,1.8103391994372944e-06,0.0023878009524196,0.0634606704115867,0.9304676055908204,0.0003071840619668,0.0033749458380043,0.0,0
17514.062,237.733,5.0,142587.0,188235.0,18922179.0,15.07,9.135710001828556e-07,9.135710001828556e-07,3.5609064070740715e-05,0.999960720539093,9.135710001828556e-07,9.135710001828556e-07,0.1,0
17547.129333333334,238.017,5.1,142824.0,188744.0,19036432.33333333,16.13,3.788169067320269e-07,0.0068933558650314,0.9860506653785706,0.0006867490010336,0.0025733939837664,0.0037954985164105,-0.1,0
17580.196666666667,237.761,5.0,143097.0,189677.0,19150685.666666668,18.21,1.3575889852290857e-06,0.0017993412911891,0.7237629890441895,0.2744335830211639,1.3575889852290857e-06,1.3575889852290857e-06,-0.3,1
17613.264,237.652,4.8,143205.0,188648.0,19264939.0,20.2,2.9441312108247075e-06,0.0012618277687579,0.6576471328735352,0.3406323194503784,0.000452832726296,2.9441312108247075e-06,-0.1,1
17631.577,237.336,4.9,143417.0,190681.0,19303823.0,20.55,8.836045140014903e-07,0.0002202946780016,0.8778783679008484,0.1215516701340675,0.0003479358565527,9.019028084367164e-07,0.3,0
17649.89,238.08,5.0,143654.0,189488.0,19342707.0,13.95,1.3212430758358096e-06,0.0001339189184363,0.3635726273059845,0.6362895369529724,1.3218678986959276e-06,1.3212430758358096e-06,0.2,-1
17668.203,238.992,5.1,143851.0,189560.0,19381591.0,15.7,3.095126430707751e-06,3.095126430707751e-06,0.0089172832667827,0.9910703301429749,3.095126430707751e-06,3.095126430707751e-06,-0.1,1
17700.264666666666,239.557,4.8,143892.0,189802.0,19445542.33333333,14.19,8.258442107944575e-07,0.0003216834156773,0.9236751198768616,0.0753685981035232,0.0006329502211883,8.258442107944575e-07,0.2,-1
17732.326333333334,240.222,4.9,144150.0,191110.0,19509493.666666668,15.63,1.6076638758022457e-06,0.0016043019713833,0.7880168557167053,0.2103206068277359,5.498361133504659e-05,1.6076638758022457e-06,0.2,1
17764.388,240.101,4.8,144521.0,190994.0,19573445.0,11.87,1.0922183719230816e-05,1.0922183719230816e-05,0.3801069557666778,0.6198493242263794,1.0922183719230816e-05,1.0922183719230816e-05,0.2,0
17801.651666666665,240.545,4.9,144664.0,190826.0,19707905.666666668,13.42,6.085937229727278e-07,7.601591642014682e-05,0.2763553857803345,0.7234052419662476,5.052864798926748e-05,0.0001122503745136,0.0,0
17838.915333333334,241.176,5.0,144953.0,191517.0,19842366.33333333,13.29,1.6090318695205497e-06,0.0002884296700358,0.0619388259947299,0.9333273768424988,1.6090318695205497e-06,0.0044421753846108,-0.4,-1
17876.179,241.741,4.9,145071.0,191627.0,19976827.0,17.06,1.0164400237044902e-06,0.0002400955418124,0.7664740681648254,0.2330131977796554,0.0002705594233702,1.0164400237044902e-06,0.6,1
17909.885666666665,242.026,4.7,145201.0,191299.0,19933358.0,13.33,8.982856911643466e-07,0.0002428913139738,0.4963235557079315,0.503318727016449,6.438827404053882e-05,4.95482818223536e-05,0.1,0
17943.592333333334,242.637,4.7,145415.0,192912.0,19889889.0,14.04,3.072899971812149e-06,3.072899971812149e-06,0.5210758447647095,0.4789118468761444,3.072899971812149e-06,3.072899971812149e-06,0.5,1
17977.299,243.62,4.7,145612.0,194496.0,19846420.0,11.99,1.235474201166653e-06,1.235474201166653e-06,0.7864713668823242,0.2135236710309982,1.235474201166653e-06,1.235474201166653e-06,0.2,1
18002.88333333333,243.872,4.6,145795.0,194193.0,19845798.0,12.92,7.650104976164585e-07,7.650104976164585e-07,0.7006111741065979,0.2993815541267395,4.973134309693705e-06,7.650104976164585e-07,0.1,0
